Wort,Zielanzahl,Referenzanzahl,Keyness
keiser,223,4,1143.75
Karl,53,0,285.17
got,5,297,97.69
hêrre,71,150,54.53
voget,8,1,34.47
künic,5,128,27.59
dienest,4,0,21.52
roemesch,4,0,21.52
Rôm,3,0,16.14
rîche,5,3,13.09
hêr,6,5,12.84
karl,2,0,10.76
witewe,2,0,10.76
weise,2,1,5.74
arbeit,1,0,5.38
bluot,1,0,5.38
britten,1,0,5.38
entrinnen,1,0,5.38
geloube,1,0,5.38
gesëgenen,1,0,5.38
houbet,1,0,5.38
kempfe,1,0,5.38
knëht,1,0,5.38
kristenheit,1,0,5.38
schalc,1,0,5.38
tân,1,0,5.38
under,1,0,5.38
veige,1,0,5.38
veste,1,0,5.38
übermüete,1,0,5.38
von,4,47,3.9
liep,2,27,2.88
grimmec,1,1,1.87
grunt,1,1,1.87
edel,2,4,1.68
nëve,1,13,1.3
wîgant,1,13,1.3
guot,1,12,1.04
tiurlich,1,2,0.84
