Wert,Anzahl
Gott_(christlich),386
Karl,362
Ruolant,205
Marsilie,166
Genelûn,109
Olivier,68
Paligân,65
Turpîn,64
Mahomet,39
Teufel,36
Christus,33
Blandscandîz,20
Naimes,20
Tirrich,14
Gergers,12
Jorfalir,12
Brechmundâ,12
Malprimes,12
Apollo,11
Anseîs,10
Engelirs,10
Falsaron,10
Der_heilige_Geist,9
Samsôn,8
David,8
Maria,8
Walther,8
Baldewîn,8
Hatte,8
Gotefrit,7
Margarîz,7
Adalrôt,7
Targîs,7
Grandon,7
Tervagant,7
Binabel,7
Ivo,6
Johannes,6
Zernubele,6
Beringêr,6
Cursabile,6
Aldâ,6
Gergis,5
Otto,5
Engel,5
Petrus,5
Estorgant,5
Thibors,5
Gebewîn,5
Oigir,4
Valdebrûn,4
Amurafel,4
Amarezur,4
Eschermunt,4
Antel,4
Heinrich_(Herzog),4
Dreieinigkeit,3
Diebalt,3
Mantel,3
Judas,3
Algafiles,3
Ekerîch,3
Gerhart,3
Malprimis,3
Prutan,3
Richart,3
Regenbalt,3
Jocerans,3
Anshelm,2
Josias,2
Michael,2
Clargis_(Heide),2
Stramariz,2
Jomel,2
Milun,2
Saturn,2
Ammirat,2
Witel,2
Ilmar_(Agremuntin),2
Marcelle,2
Ciciron,2
Alrich_(Christ),2
Herodes,2
Regenfrit,2
Gideon,2
Scarpulôn,2
Alfric,2
Abysse,2
Urtanne,2
Pegôn,2
Dionysius,2
Rapoto,2
Herman,2
Haimunt,2
Joleun,2
Ludewîc_(Sohn Karls),2
Pipin,1
Wernes,1
Estropiz,1
Priamur,1
Gerglant,1
Baiziel,1
Malbrant,1
Matheus,1
Salomon,1
Ingram,1
Michaeli,1
Dierrîch,1
Wido,1
Ritschart,1
Heinrich,1
Ansgir,1
Reimunt,1
Basilie,1
Basanzi,1
Madelgêr,1
Orphalis,1
Glibon,1
Gersîz,1
Plangirz,1
Oliboris,1
Alrich_(Heide),1
Ilmar_(Ultor),1
Ilaz,1
Antelun,1
Maglirte,1
Jupiter,1
Mars,1
Ägidius,1
Philon,1
Denis,1
Alexander,1
Dionisius,1
Garpîn,1
Arthan,1
Clargis_(Christ),1
Tortan,1
Orte,1
Maximîn,1
Waldram,1
Muralan,1
Ludewîc_(Christ),1
Nêre,1
Martian,1
Pandolt,1
Nerpa,1
Hillung,1
Vastmar,1
Otnant,1
Witrant,1
Pillung,1
Sigebant,1
Antoîr,1
Gwimut,1
Kartan,1
Malsarôn,1
Torke,1
Estorke,1
Justîn,1
Sigelot,1
Spemvalrîz,1
Sohn_(Marsilie),1
Pharao,1
Alfabîn,1
Laurentius,1
Falbin,1
Ebelin,1
Degiôn,1
Algarich,1
Aegidius,1
Blasius,1
Abraham,1
Gabriel,1
Raphael,1
Josua,1
Clariens,1
Iclarions,1
Maltrens,1
Geneasin,1
Wineman,1
Wate,1
Nevelun,1
Argun,1
Jonas,1
König von Ninive,1
Curlenes,1
Clapamorses,1
Kanabeus,1
Daniel,1
Ansgis,1
Amhoch,1
Romanus,1
Golitath,1
Saul,1
Konrad,1
